iter	Passed	Remaining
0	2	2627
1	4	2375
2	7	2338
3	9	2338
4	11	2351
5	14	2362
6	16	2395
7	19	2453
8	22	2506
9	25	2535
10	28	2550
11	31	2571
12	34	2599
13	37	2617
14	40	2643
15	43	2658
16	46	2675
17	49	2696
18	52	2723
19	55	2732
20	58	2737
21	61	2754
22	65	2761
23	68	2767
24	71	2773
25	74	2778
26	77	2783
27	80	2789
28	83	2791
29	86	2801
30	90	2814
31	93	2816
32	96	2818
33	99	2821
34	102	2823
35	105	2827
36	108	2828
37	111	2830
38	114	2832
39	118	2840
40	121	2843
41	124	2846
42	127	2845
43	130	2843
44	133	2842
45	137	2841
46	140	2839
47	142	2834
48	145	2831
49	148	2830
50	152	2829
51	155	2828
52	158	2825
53	161	2823
54	164	2819
55	167	2820
56	170	2820
57	173	2821
58	176	2820
59	179	2818
60	183	2821
61	186	2819
62	189	2819
63	192	2818
64	195	2818
65	199	2816
66	201	2812
67	204	2807
68	207	2803
69	210	2802
70	214	2805
71	217	2804
72	220	2802
73	223	2801
74	226	2797
75	229	2795
76	233	2794
77	236	2791
78	239	2788
79	242	2785
80	245	2785
81	248	2787
82	252	2785
83	255	2782
84	258	2781
85	261	2779
86	264	2776
87	267	2774
88	270	2771
89	273	2768
90	277	2768
91	280	2767
92	283	2764
93	286	2760
94	289	2757
95	292	2754
96	295	2750
97	298	2747
98	301	2744
99	304	2741
100	307	2739
101	311	2738
102	314	2735
103	316	2730
104	319	2726
105	322	2722
106	325	2718
107	328	2715
108	332	2714
109	335	2712
110	338	2712
111	342	2712
112	344	2702
113	347	2700
114	350	2697
115	353	2694
116	356	2690
117	359	2687
118	362	2684
119	365	2681
120	368	2677
121	371	2673
122	374	2673
123	377	2669
124	380	2666
125	383	2662
126	387	2660
127	389	2656
128	393	2654
129	396	2651
130	399	2649
131	402	2646
132	406	2647
133	409	2645
134	412	2643
135	415	2640
136	418	2637
137	421	2634
138	424	2632
139	427	2629
140	431	2626
141	434	2624
142	437	2623
143	440	2621
144	444	2619
145	447	2616
146	450	2613
